date,PP,PSOE,ERC,PNVEAJ,CC,BNG,Cs,VOX,Podemos,EHBildu,PACMA,PDeCAT,Comp,JuntsxCat,Naplus,MP,CUP,Sumar,firm,date_from,sample_size
2013-11-13,30.9,21.7,NA,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Simple Lógica,2013-11-04,1959
2013-11-14,33.1,28.5,2.1,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GAD3,2013-11-11,801
2013-11-14,30.6,27,2.6,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sigma Dos,2013-11-12,1000
2013-11-22,28.4,23.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Invymark,2013-11-18,NA
2013-11-28,29.5,25.1,2.5,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GESOP,2013-11-25,1000
2013-11-28,34.2,28.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC Report,2013-11-18,955
2013-11-30,33.9,31.5,2.2,1.5,0.5,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Metroscopia,2013-11-30,12000
2013-12-05,32,28.6,2.3,1.3,0.9,0.9,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Celeste-Tel,2013-12-01,1100
2013-12-10,30.7,22.8,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Simple Lógica,2013-12-02,1044
2013-12-20,28.2,23.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Invymark,2013-12-16,NA
2013-12-28,33.3,24.4,2.6,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sigma Dos,2013-12-26,1000
2014-01-07,32.1,28.8,2.2,1.3,0.9,0.9,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Celeste-Tel,2014-01-02,1100
2014-01-09,32,33.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Metroscopia,2014-01-08,1200
2014-01-10,28.1,22,NA,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Simple Lógica,2014-01-02,1030
2014-01-11,28.5,23.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Invymark,2014-01-04,NA
2014-01-15,32.1,26.6,2.5,1.5,1,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CIS,2014-01-03,2480
2014-01-23,28.6,24.9,2.1,NA,NA,NA,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GESOP,2014-01-20,1000
2014-01-24,28.7,23.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Invymark,2014-01-20,NA
2014-02-06,31.6,28.7,2.1,1.2,0.8,0.9,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Celeste-Tel,2014-02-01,1100
2014-02-06,30.8,31.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Metroscopia,2014-02-05,1200
2014-02-10,29.6,20.3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Simple Lógica,2014-02-03,1119
